"","entity_name","iso3c","year","p10","p90","population","continent"
"428","Palau","PLW",2017,NA,NA,17857,NA
"429","Palau","PLW",2018,NA,NA,17887,NA
"430","Palestine","PSE",2017,NA,NA,4700954,NA
"431","Palestine","PSE",2018,NA,NA,4805549,NA
"432","Papua New Guinea","PNG",2017,NA,NA,9114803,NA
"433","Papua New Guinea","PNG",2018,NA,NA,9329233,NA
"434","Philippines","PHL",2017,NA,NA,106738496,NA
"435","Puerto Rico","PRI",2017,NA,NA,3366407,NA
"436","Puerto Rico","PRI",2018,NA,NA,3319269,NA
"437","Qatar","QAT",2017,NA,NA,2711764,NA
"438","Qatar","QAT",2018,NA,NA,2766743,NA
"439","Reunion","REU",2017,NA,NA,932745,NA
"440","Reunion","REU",2018,NA,NA,941189,NA
"441","Rwanda","RWA",2017,NA,NA,12230343,NA
"442","Rwanda","RWA",2018,NA,NA,12531810,NA
"443","Saint Barthlemy",NA,2017,NA,NA,10068,NA
"444","Saint Barthlemy",NA,2018,NA,NA,10281,NA
"445","Saint Helena","SHN",2017,NA,NA,5521,NA
"446","Saint Helena","SHN",2018,NA,NA,5494,NA
"447","Saint Kitts and Nevis","KNA",2017,NA,NA,47811,NA
"448","Saint Kitts and Nevis","KNA",2018,NA,NA,47787,NA
"449","Saint Lucia","LCA",2017,NA,NA,177175,NA
"450","Saint Lucia","LCA",2018,NA,NA,177894,NA
"451","Saint Martin (French part)","MAF",2017,NA,NA,34519,NA
"452","Saint Martin (French part)","MAF",2018,NA,NA,33879,NA
"453","Saint Pierre and Miquelon","SPM",2017,NA,NA,5980,NA
"454","Saint Pierre and Miquelon","SPM",2018,NA,NA,5969,NA
"455","Saint Vincent and the Grenadines","VCT",2017,NA,NA,105568,NA
"456","Saint Vincent and the Grenadines","VCT",2018,NA,NA,105297,NA
"457","Samoa","WSM",2017,NA,NA,207642,NA
"458","Samoa","WSM",2018,NA,NA,209715,NA
"459","San Marino","SMR",2017,NA,NA,34081,NA
"460","San Marino","SMR",2018,NA,NA,34179,NA
"461","Sao Tome and Principe","STP",2018,NA,NA,211358,NA
"462","Saudi Arabia","SAU",2017,NA,NA,34193120,NA
"463","Saudi Arabia","SAU",2018,NA,NA,35018132,NA
"464","Senegal","SEN",2017,NA,NA,15157793,NA
"465","Seychelles","SYC",2017,NA,NA,101828,NA
"466","Sierra Leone","SLE",2017,NA,NA,7677570,NA
"467","Singapore","SGP",2017,NA,NA,5764489,NA
"468","Singapore","SGP",2018,NA,NA,5814543,NA
"469","Sint Maarten (Dutch part)","SXM",2017,NA,NA,41901,NA
